segment,object_code,object_name,country,parameter,date,value,source_file
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-07,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-08,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-09,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-10,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-12,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-13,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-14,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-15,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-16,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-17,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-18,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-19,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-20,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-21,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-22,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-23,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-24,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-25,2.9,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-26,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-27,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-28,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-29,2.9,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-30,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-31,3.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-01,195.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-02,185.7,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-03,188.8,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-05,189.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-06,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-07,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-08,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-09,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-10,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-12,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-13,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-14,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-15,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-16,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-17,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-18,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-19,190.6,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-20,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-21,184.5,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-22,172.5,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-23,155.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-24,155.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-25,151.15,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-26,153.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-27,149.8,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-28,149.3,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-29,147.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-30,141.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,all,discharge,2022-08-31,190.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-01,185.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-02,176.8,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-03,179.45,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-05,183.1,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-06,186.5,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-07,183.35,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-08,181.4,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-09,184.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-10,182.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-12,184.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-13,183.7,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-14,183.9,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-15,180.45,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-16,180.5,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-17,183.7,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-18,184.1,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-19,184.9,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-20,183.9,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-21,178.5,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-22,168.1,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-23,151.3,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-24,151.8,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-25,151.15,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-26,149.6,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-27,148.45,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-28,147.45,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-29,144.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-30,139.7,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Uzbekistan,discharge,2022-08-31,183.9,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Tajikistan,discharge,2022-08-01,6.0,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Tajikistan,discharge,2022-08-02,5.4,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Tajikistan,discharge,2022-08-03,5.8,август 2022.xlsx
Toktogul–BahriTojik,BFK_KDP,БФК + КДП,Tajikistan,discharge,2022-08-05,2.4,август 2022.xlsx
